game_title,game_id
7 Wonders,68448
Arkham Horror,15987
Azul,230802
Battleship,2425
Chutes and Ladders,5432
Codenames,178900
Exploding Kittens,172225
Othello,2389
Power Grid,2651
Star Wars: X-Wing Miniatures,103885
Apples to Apples,74
Backgammon,2397
Battlestar Galactica,37111
Dixit,39856
Gloomhaven,174430
Loopin' Louie,327
Operation,3737
Sushi Go!,133473
Ticket to Ride,9209
Twilight Struggle,12333
Blokus,2453
Connect Four,2719
Coup,131357
Dominion,36218
Magic: The Gathering,463
Memoir '44,10630
Munchkin,1927
Risk,181
Sleeping Queens,17053
Small World,40692
Arkham Horror: The Card Game,205367
Go,188
Monopoly,1406
Pandemic,30549
Pandemic Legacy S1,161936
Root,237182
Sorry!,2407
Splendor,148228
Terraforming Mars,167791
The Resistance,41114
Agricola,31260
BANG!,3955
Carcassonne,822
Dead of Winter,150376
Diplomacy,483
Guess Who?,4143
King of Tokyo,70323
Patchwork,163412
Scrabble,320
Lord of the Rings Card Game,77423
Andoid: Netrunner,124742
Axis & Allies,98
Betrayal at House on the Hill,10547
Candy Land,5048
Cards Against Humanity,50381
Catan,13
Chess,171
Love Letter,129622
Puerto Rico,3076
Uno,2223
I don't like any of these games,99999999
